,shenzhencxr,shenzhencxr uncertainty,montgomerycxr,montgomerycxr uncertainty,bach,bach uncertainty,iChallengeAMD,iChallengeAMD uncertainty,iChallengePM,iChallengePM uncertainty,chexpert,chexpert uncertainty,stoic,stoic uncertainty,diabetic retinopathy (5way),diabetic retinopathy (5way) uncertainty,chestx (5way),chestx (5way) uncertainty,cifar10 (2way),cifar10 (2way) uncertainty
simclrv1,0.7446,0.0066,0.6320,0.0080,80.6100,0.0074,0.7490,0.0062,0.9492,0.0032,0.5973,0.0072,0.5163,0.0073,0.3278,0.0042,0.2986,0.0046,0.9170,0.0066
mocov2,0.7376,0.0066,0.6354,0.0074,82.5300,0.0071,0.7491,0.0064,0.9421,0.0033,0.5739,0.0075,0.5096,0.0072,0.3407,0.0043,0.2869,0.0044,0.9069,0.0070
swav,0.7522,0.0065,0.6738,0.0071,82.7800,0.0065,0.7094,0.0066,0.9469,0.0031,0.5761,0.0077,0.5251,0.0076,0.3447,0.0043,0.2776,0.0044,0.9222,0.0062
byol,0.7629,0.0065,0.7098,0.0067,83.2800,0.0066,0.7458,0.0061,0.9583,0.0028,0.5844,0.0074,0.5279,0.0072,0.3366,0.0040,0.3028,0.0046,0.9192,0.0062
pirl,0.7748,0.0060,0.6358,0.0076,81.0200,0.0069,0.7526,0.0060,0.9349,0.0035,0.5851,0.0076,0.5061,0.0072,0.3419,0.0041,0.2852,0.0044,0.8870,0.0073
supervised r50,0.7086,0.0072,0.6231,0.0075,80.4900,0.0068,0.7570,0.0064,0.9480,0.0033,0.5614,0.0076,0.5132,0.0075,0.3132,0.0043,0.2771,0.0046,0.9468,0.0047
supervised r18,0.7416,0.0066,0.6294,0.0069,80.7800,0.0071,0.7459,0.0062,0.9368,0.0035,0.5769,0.0080,0.5254,0.0074,0.3296,0.0041,0.2858,0.0040,0.9407,0.0055
supervised d121,0.7343,0.0065,0.6531,0.0067,81.2100,0.0070,0.7712,0.0060,0.9486,0.0030,0.5741,0.0078,0.5199,0.0073,0.3349,0.0042,0.2788,0.0044,0.9329,0.0055
mimicchexpert lr=0.01,0.6908,0.0068,0.6915,0.0066,66.8600,0.0096,0.6272,0.0075,0.7884,0.0067,0.6210,0.0073,0.5170,0.0070,0.2256,0.0038,0.3373,0.0045,0.6958,0.0089
mimicchexpert lr=0.1,0.7322,0.0064,0.6754,0.0063,69.6600,0.0104,0.6287,0.0074,0.8366,0.0054,0.6157,0.0078,0.5246,0.0074,0.2571,0.0040,0.3479,0.0050,0.7132,0.0089
mimicchexpert lr=1.0,0.6862,0.0072,0.6713,0.0065,71.6000,0.0098,0.6505,0.0072,0.7690,0.0058,0.6245,0.0075,0.5239,0.0073,0.2223,0.0037,0.3482,0.0048,0.6951,0.0090
mimiccxr r18,0.7389,0.0064,0.5725,0.0069,66.9600,0.0088,0.6008,0.0075,0.7906,0.0061,0.5806,0.0074,0.5379,0.0076,0.2427,0.0038,0.2615,0.0041,0.7140,0.0098
mimiccxr d121,0.6769,0.0068,0.6502,0.0070,69.0700,0.0082,0.6817,0.0072,0.8759,0.0047,0.6033,0.0074,0.5273,0.0075,0.2778,0.0041,0.2901,0.0046,0.7808,0.0094
